NAME,SPECT_TYPE
V3102 Cyg ,                 
V458 Cyg  ,                 
V2762 Cyg ,B0Ve             
V358 Cyg  ,                 
V579 Cyg  ,M6ea             
V2581 Cyg ,                 
V1232 Cyg ,                 
V2203 Cyg ,                 
V359 Cyg  ,                 
V1554 Cyg ,C                
V2132 Cyg ,                 
V1533 Cyg ,                 
V1832 Cyg ,                 
V2044 Cyg ,                 
AZ Cyg    ,M2-4Iab          
V519 Cyg  ,A5               
V2144 Cyg ,                 
V515 Cyg  ,M6               
V2560 Cyg ,                 
V2136 Cyg ,                 
V1395 Cyg ,MA               
V2042 Cyg ,                 
V1204 Cyg ,                 
CO Cyg    ,K5               
V3089 Cyg ,M6               
V2141 Cyg ,                 
V1981 Cyg ,                 
V1925 Cyg ,                 
RR Cyg    ,M3III            
V349 Cyg  ,M4               
V2023 Cyg ,                 
V1709 Cyg ,                 
V2713 Cyg ,                 
V3087 Cyg ,M4               
V2742 Cyg ,                 
V3071 Cyg ,M5:e             
BZ Cyg    ,F8Ib-G5Ib        
DS Cyg    ,"C3,2-C5,4(Nea:)  "
V514 Cyg  ,K3               
V511 Cyg  ,                 
V407 Cyg  ,Mep              
V2436 Cyg ,K2V              
V350 Cyg  ,                 
CY Cyg    ,CS(M2p)          
V2564 Cyg ,Me               
V2053 Cyg ,                 
V355 Cyg  ,                 
V1931 Cyg ,                 
V2439 Cyg ,                 
V525 Cyg  ,                 
V594 Cyg  ,M6               
V1552 Cyg ,                 
V701 Cyg  ,C                
V2616 Cyg ,                 
V2617 Cyg ,                 
V599 Cyg  ,                 
V2058 Cyg ,                 
V2618 Cyg ,OB               
V3114 Cyg ,                 
V1809 Cyg ,                 
V1066 Cyg ,                 
V2430 Cyg ,                 
V1480 Cyg ,                 
V584 Cyg  ,                 
V752 Cyg  ,ea               
V1927 Cyg ,                 
V2561 Cyg ,G5V              
V2054 Cyg ,                 
V1598 Cyg ,                 
V1597 Cyg ,                 
V2022 Cyg ,                 
V1057 Cyg ,B3-Ke(T)         
V2024 Cyg ,                 
V1588 Cyg ,                 
V751 Cyg  ,pec(cont+e)      
V1924 Cyg ,                 
V1536 Cyg ,                 
V1531 Cyg ,M0e              
V1532 Cyg ,M0e              
V1794 Cyg ,                 
V354 Cyg  ,M5               
V2429 Cyg ,M3               
V1930 Cyg ,                 
V2025 Cyg ,                 
V1600 Cyg ,                 
V1493 Cyg ,A2e              
V1608 Cyg ,                 
V2590 Cyg ,                 
V2831 Cyg ,                 
V386 Cyg  ,F5-G1Ib          
V528 Cyg  ,ea:              
BH Cyg    ,M5               
V2065 Cyg ,                 
V1808 Cyg ,                 
V1722 Cyg ,                 
V1499 Cyg ,                 
V2066 Cyg ,                 
V576 Cyg  ,                 
V2069 Cyg ,                 
V2615 Cyg ,                 
V2598 Cyg ,                 
V2057 Cyg ,                 
V2605 Cyg ,                 
V2587 Cyg ,                 
V1059 Cyg ,MA               
V2612 Cyg ,                 
V2588 Cyg ,                 
V2149 Cyg ,                 
V2603 Cyg ,                 
V604 Cyg  ,ea               
V780 Cyg  ,                 
V2824 Cyg ,                 
V531 Cyg  ,                 
V1223 Cyg ,                 
V2565 Cyg ,                 
V1718 Cyg ,                 
V1595 Cyg ,                 
V2566 Cyg ,O9.5-B0IV-V      
V1797 Cyg ,                 
V1717 Cyg ,                 
V1529 Cyg ,                 
V3081 Cyg ,                 
V1705 Cyg ,ea               
V2478 Cyg ,                 
V3088 Cyg ,                 
V1424 Cyg ,                 
V1544 Cyg ,                 
V1593 Cyg ,                 
V1545 Cyg ,                 
V1496 Cyg ,                 
V2562 Cyg ,A2               
V1891 Cyg ,                 
V2047 Cyg ,                 
V2052 Cyg ,                 
V2048 Cyg ,                 
V1662 Cyg ,                 
DG Cyg    ,M7e-M9.3         
V3065 Cyg ,                 
V2134 Cyg ,                 
V1958 Cyg ,                 
V1592 Cyg ,                 
V353 Cyg  ,                 
V2049 Cyg ,                 
V1596 Cyg ,                 
V2563 Cyg ,                 
V2040 Cyg ,                 
V1546 Cyg ,K:ea             
V1497 Cyg ,                 
V1540 Cyg ,                 
V2020 Cyg ,                 
V2200 Cyg ,                 
V2016 Cyg ,                 
V517 Cyg  ,A5ea             
V2018 Cyg ,                 
V1977 Cyg ,                 
V2019 Cyg ,                 
V2434 Cyg ,                 
V1539 Cyg ,K6e(T)           
V1929 Cyg ,                 
V348 Cyg  ,                 
V2559 Cyg ,e                
YZ Cyg    ,A0               
V1663 Cyg ,                 
V582 Cyg  ,M4               
V577 Cyg  ,"C7,4e(N)         "
V2769 Cyg ,                 
V2812 Cyg ,                 
V2578 Cyg ,                 
V2773 Cyg ,                 
V573 Cyg  ,C(R)             
V2140 Cyg ,                 
V832 Cyg  ,B1.5Venn         
V520 Cyg  ,G0               
V1541 Cyg ,"C5,4(N)          "
V3094 Cyg ,"C6,4             "
V1542 Cyg ,                 
V2148 Cyg ,                 
V352 Cyg  ,                 
V2035 Cyg ,                 
V2041 Cyg ,                 
V1661 Cyg ,B3eaIa           
V347 Cyg  ,                 
V2032 Cyg ,                 
TV Cyg    ,M0               
V3067 Cyg ,K/Me             
SZ Cyg    ,F9-G5Ib          
V2015 Cyg ,                 
V2033 Cyg ,                 
V508 Cyg  ,                 
V2039 Cyg ,                 
V3008 Cyg ,A0               
V509 Cyg  ,                 
RZ Cyg    ,M7.0-M8.2ea      
V521 Cyg  ,K0:ea-K5e        
V2061 Cyg ,                 
V1535 Cyg ,ea               
V1611 Cyg ,                 
V1201 Cyg ,                 
V2555 Cyg ,                 
alf Cyg   ,A2Iae            
V2589 Cyg ,                 
V2592 Cyg ,                 
TX Cyg    ,F5-G6Ib          
V2017 Cyg ,                 
V1702 Cyg ,K2e              
V1703 Cyg ,K7-M0e           
V1707 Cyg ,K5ea             
V2553 Cyg ,                 
V506 Cyg  ,M7               
AO Cyg    ,                 
V2431 Cyg ,K2V              
V3097 Cyg ,                 
BE Cyg    ,                 
V3069 Cyg ,                 
V1872 Cyg ,                 
V1887 Cyg ,                 
V1328 Cyg ,                 
AT Cyg    ,M5e              
V1862 Cyg ,                 
LN Cyg    ,A2:              
V1978 Cyg ,                 
V3075 Cyg ,                 
V3077 Cyg ,                 
V2717 Cyg ,                 
V2718 Cyg ,                 
DI Cyg    ,M2e              
AL Cyg    ,                 
AS Cyg    ,                 
BD Cyg    ,                 
AM Cyg    ,M6e              
V2569 Cyg ,M3               
V2321 Cyg ,                 
V3063 Cyg ,                 
V2127 Cyg ,                 
V3061 Cyg ,                 
V2123 Cyg ,                 
V3014 Cyg ,                 
GP Cyg    ,                 
V569 Cyg  ,"C5,4(N3)         "
V2193 Cyg ,                 
V829 Cyg  ,M4               
V570 Cyg  ,M5-7             
V1327 Cyg ,                 
AI Cyg    ,M6-M7            
AD Cyg    ,"S5,8(Nb)         "
V505 Cyg  ,F0               
V2315 Cyg ,                 
V3056 Cyg ,                 
V1210 Cyg ,                 
V373 Cyg  ,                 
V378 Cyg  ,                 
UX Cyg    ,M4e-M6.5e        
UY Cyg    ,A8-F5            
AP Cyg    ,                 
V2549 Cyg ,F8               
V388 Cyg  ,A3               
T Vul     ,F5Ib-G0Ib        
BW Vul    ,B1III-B2IIIeaV   
V377 Cyg  ,                 
BV Vul    ,"S7,8             "
V376 Cyg  ,                 
RR Vul    ,A2               
V565 Cyg  ,                 
V571 Cyg  ,                 
V457 Cyg  ,G0               
V567 Cyg  ,                 
V2317 Cyg ,                 
V3016 Cyg ,                 
BU Vul    ,G0               
FG Vul    ,M5II             
TZ Vul    ,C(N)             
SX Vul    ,M8e              
V362 And  ,M0               
V445 And  ,G0               
HN And    ,A2pSrCrEu        
V741 And  ,                 
V529 And  ,A7Vm             
V444 And  ,                 
EK And    ,                 
UZ And    ,M7e              
V522 And  ,                 
IW And    ,pec              
V404 And  ,                 
V441 And  ,                 
IT And    ,                 
QU And    ,G5IV             
IU And    ,                 
V358 And  ,M2               
V443 And  ,K0V              
V532 And  ,                 
NX And    ,                 
U And     ,M6e              
V796 And  ,                 
XX And    ,A8-F6            
IR And    ,                 
V521 And  ,F0-F2            
WZ And    ,F5               
V361 And  ,F0               
HL And    ,                 
V360 And  ,M3III            
IV And    ,M7               
V513 And  ,                 
V518 And  ,                 
V748 Aql  ,                 
V1048 Aql ,                 
V466 Aql  ,M5               
V1050 Aql ,                 
V710 Aql  ,                 
V1469 Aql ,"C4,3(N0)         "
HI Aql    ,                 
V642 Aql  ,M6               
KZ Aql    ,                 
OU Aql    ,M3IIIe           
LL Aql    ,                 
V983 Aql  ,                 
LO Aql    ,M0               
V715 Aql  ,                 
V741 Aql  ,                 
V627 Aql  ,                 
V726 Aql  ,                 
V1416 Aql ,M9               
V728 Aql  ,                 
V426 Aql  ,                 
V1851 Aql ,                 
V1865 Aql ,                 
V1968 Aql ,                 
V1463 Aql ,B5e              
V458 Aql  ,                 
V986 Aql  ,M7-M8            
V656 Aql  ,                 
V823 Aql  ,                 
FI Aqr    ,B9pSi            
AP Aqr    ,                 
BI Aqr    ,                 
