NAME,SPECT_TYPE
IR Lyr    ,                 
V732 Lyr  ,                 
V829 Lyr  ,                 
V1526 Her ,                 
V676 Her  ,                 
V387 Lyr  ,                 
V1310 Her ,                 
V1510 Her ,                 
V1300 Her ,                 
BT Cap    ,M3III            
V519 Peg  ,                 
V2490 Cyg ,                 
T Cap     ,M2e-M6e          
AU Cap    ,K2III            
YZ Cap    ,A5-A7            
CP Cap    ,                 
CR Cap    ,                 
FF Cap    ,                 
V508 Aqr  ,                 
RZ Aqr    ,M3e-M9           
EI Aqr    ,                 
IY Aqr    ,M0               
BB Cap    ,M4.5Ve           
V504 Aqr  ,                 
HY Aqr    ,M8               
IW Aqr    ,M4III:           
IX Aqr    ,K2               
EE Peg    ,A3mV+F5          
V708 Peg  ,M5               
V452 Peg  ,                 
EM Peg    ,M5               
V691 Peg  ,                 
EG Peg    ,M3               
FL Peg    ,                 
FS Peg    ,                 
V434 Peg  ,                 
SU Equ    ,                 
IR Peg    ,                 
V701 Peg  ,M4               
RU Equ    ,M6               
V431 Peg  ,                 
V704 Peg  ,F0               
V412 Peg  ,                 
TX Equ    ,                 
VW Equ    ,                 
TU Equ    ,                 
NY Peg    ,                 
AP Peg    ,M5e              
AU Peg    ,F8               
AO Peg    ,A7-F5            
V429 Peg  ,                 
V438 Peg  ,                 
IK Peg    ,A8m              
FY Peg    ,M7               
KV Peg    ,                 
V440 Peg  ,                 
V688 Peg  ,M7               
V399 Peg  ,                 
TV Peg    ,M0e              
V3147 Cyg ,                 
LP Peg    ,                 
BY Peg    ,                 
FZ Peg    ,M5               
BS Peg    ,                 
V449 Peg  ,                 
V628 Peg  ,                 
CC Peg    ,                 
V3154 Cyg ,M2               
V709 Peg  ,                 
V700 Peg  ,                 
V2334 Cyg ,                 
V3146 Cyg ,                 
V400 Cyg  ,                 
BK Vul    ,                 
V697 Peg  ,                 
V605 Vul  ,M                
V3145 Cyg ,                 
BB Cyg    ,                 
BV Peg    ,                 
V629 Peg  ,                 
V448 Peg  ,M2III            
V447 Peg  ,                 
BR Peg    ,                 
CF Peg    ,                 
V457 Vul  ,G8V              
V515 Vul  ,                 
BI Vul    ,                 
V699 Peg  ,                 
V598 Vul  ,M6.5             
V2168 Cyg ,                 
V3151 Cyg ,                 
V1615 Cyg ,                 
V2489 Cyg ,                 
V1618 Cyg ,                 
V1426 Cyg ,"C7,2e(N)         "
V1907 Cyg ,                 
V1937 Cyg ,                 
V2789 Cyg ,                 
V2826 Cyg ,                 
V2780 Cyg ,                 
V3132 Cyg ,                 
V2485 Cyg ,                 
V2484 Cyg ,                 
V1334 Cyg ,F2Ib             
V1239 Cyg ,                 
V1935 Cyg ,                 
V1812 Cyg ,                 
V1065 Cyg ,                 
V1910 Cyg ,                 
V1236 Cyg ,                 
V1811 Cyg ,                 
V3133 Cyg ,                 
V1939 Cyg ,                 
V3155 Cyg ,                 
V1902 Cyg ,                 
V1723 Cyg ,                 
tau Cyg   ,F0IV             
V1911 Cyg ,                 
V2343 Cyg ,                 
V2488 Cyg ,                 
V1616 Cyg ,                 
V1963 Cyg ,                 
V2631 Cyg ,                 
MZ Cyg    ,G1-G3            
V387 Cyg  ,A4+G5            
V1240 Cyg ,                 
V2633 Cyg ,                 
V2634 Cyg ,                 
V1932 Cyg ,                 
V2620 Cyg ,                 
V2629 Cyg ,                 
V2333 Cyg ,                 
V3127 Cyg ,                 
V1906 Cyg ,                 
V1238 Cyg ,                 
V2640 Cyg ,                 
V2641 Cyg ,                 
V2627 Cyg ,                 
V2639 Cyg ,                 
V2626 Cyg ,                 
V836 Cyg  ,A0V              
V2637 Cyg ,                 
V2625 Cyg ,                 
V3156 Cyg ,                 
V2838 Cyg ,                 
BP Cyg    ,M5               
V3165 Cyg ,                 
V1083 Cyg ,A                
V1081 Cyg ,                 
V656 Cyg  ,M6.5             
V1427 Cyg ,B3eq             
V1077 Cyg ,                 
V621 Cyg  ,                 
V2159 Cyg ,                 
V1934 Cyg ,                 
V2161 Cyg ,                 
V2606 Cyg ,                 
V2586 Cyg ,                 
V2583 Cyg ,                 
V2601 Cyg ,                 
V608 Cyg  ,                 
V1758 Cyg ,                 
V1726 Cyg ,F5               
V2340 Cyg ,                 
V618 Cyg  ,                 
V633 Cyg  ,S                
V1087 Cyg ,                 
V1079 Cyg ,                 
CE Cyg    ,K3III            
V1807 Cyg ,                 
V2809 Cyg ,                 
V2805 Cyg ,                 
V2804 Cyg ,                 
V2799 Cyg ,                 
V2813 Cyg ,                 
V1727 Cyg ,pec(e)           
V362 Cyg  ,M6.5             
V2164 Cyg ,                 
V605 Cyg  ,                 
V1076 Cyg ,                 
V1243 Cyg ,                 
V590 Cyg  ,M6               
V612 Cyg  ,M6.5             
V591 Cyg  ,M2               
V2450 Cyg ,                 
V2445 Cyg ,                 
MS Cep    ,                 
WX Lac    ,                 
V436 Lac  ,                 
V1008 Cep ,O9.5Vep          
MQ Cep    ,                 
KM Lac    ,                 
KN Cep    ,                 
LS Lac    ,                 
LQ Lac    ,                 
V467 Lac  ,                 
II Lac    ,                 
V339 Lac  ,                 
GS Lac    ,                 
V399 Lac  ,                 
IX Cep    ,                 
MP Cep    ,                 
MV Lac    ,                 
V2263 Cyg ,                 
V2359 Cyg ,                 
V2360 Cyg ,                 
V1432 Cyg ,                 
DQ Cyg    ,M8               
AD Lac    ,M6               
V669 Lac  ,                 
WY Lac    ,M6.5             
PX Lac    ,                 
V403 Lac  ,                 
MX Lac    ,                 
V441 Lac  ,                 
IO Lac    ,                 
V3176 Cyg ,BN1IIIe          
HO Lac    ,                 
V2645 Cyg ,                 
V1408 Cyg ,                 
V2465 Cyg ,                 
V1406 Cyg ,                 
V1429 Cyg ,                 
LU Lac    ,                 
VZ Lac    ,                 
CU Lac    ,M6               
IV Lac    ,                 
ZZ Lac    ,                 
HV Lac    ,                 
V488 Lac  ,                 
QY Lac    ,                 
ER Lac    ,                 
V670 Lac  ,                 
V486 Lac  ,                 
V485 Lac  ,                 
V342 Lac  ,                 
KK Lac    ,                 
V385 Lac  ,                 
AY Lac    ,                 
HM Lac    ,                 
V1431 Cyg ,                 
V1416 Cyg ,                 
V1413 Cyg ,                 
DN Cyg    ,                 
V1739 Cyg ,                 
DO Cyg    ,A0               
BQ Cyg    ,M7               
V1738 Cyg ,                 
V1430 Cyg ,                 
GU Cyg    ,M9               
V383 Sct  ,                 
LR Ser    ,                 
KO Ser    ,                 
V391 Ser  ,                 
FZ Ser    ,                 
V388 Ser  ,                 
V366 Ser  ,                 
V3936 Sgr ,                 
V3938 Sgr ,                 
V3940 Sgr ,                 
V5558 Sgr ,pec(Nova)        
V4653 Sgr ,                 
V4704 Sgr ,                 
V992 Her  ,                 
V1017 Her ,                 
AW Her    ,G0+K2            
DG Her    ,M5e              
V1448 Her ,                 
V889 Her  ,                 
V1344 Her ,G0               
DS Her    ,                 
V1343 Her ,B9V              
V991 Her  ,                 
V997 Her  ,                 
V1531 Her ,                 
GG Her    ,                 
V1018 Her ,                 
V341 Her  ,M                
V996 Her  ,                 
MT Her    ,F5:              
V1016 Her ,                 
V1529 Her ,                 
V575 Her  ,                 
TV Lyr    ,M4e              
V575 Lyr  ,                 
AZ Her    ,M4               
AP Lyr    ,                 
V671 Her  ,                 
AU Her    ,M8               
V1311 Her ,                 
V888 Her  ,                 
EO Her    ,                 
V563 Her  ,                 
FT Her    ,                 
V1530 Her ,M4               
V342 Her  ,F2               
EP Her    ,                 
MY Her    ,                 
ER Her    ,                 
V441 Her  ,F2Ibe            
AI PsA    ,                 
VV PsA    ,                 
TT PsA    ,M7III            
V483 Peg  ,                 
BQ Cap    ,F3V              
DL Cap    ,                 
EY Cap    ,                 
FR Cap    ,                 
FS Cap    ,                 
FM Cap    ,                 
FQ Cap    ,                 
FO Cap    ,                 
FP Cap    ,                 
FT Cap    ,                 
BO Cap    ,M2III            
CH Cap    ,                 
CG Cap    ,                 
BP Cap    ,M1               
RY Aqr    ,A3               
AD Aqr    ,M2               
CT Aqr    ,                 
V505 Aqr  ,                 
V454 Aqr  ,                 
V473 Aqr  ,                 
EP Aqr    ,M8III            
HT Aqr    ,M5               
V336 Aqr  ,                 
V371 Aqr  ,                 
V370 Aqr  ,                 
V335 Aqr  ,                 
EO Aqr    ,                 
DL Aqr    ,                 
CD Aqr    ,A5               
HV Aqr    ,                 
V348 Her  ,                 
V340 Her  ,                 
V1438 Her ,M4.5             
V1439 Her ,                 
V716 And  ,                 
V439 And  ,K0Ve             
UW And    ,M5               
V481 And  ,G5               
NO Peg    ,                 
DU Peg    ,M5e              
V620 Peg  ,                 
KO Peg    ,                 
MZ Peg    ,                 
V685 Peg  ,                 
II Peg    ,K2IV-Ve          
KM Peg    ,                 
V771 Peg  ,                 
V687 Peg  ,                 
TT Peg    ,M6e              
V347 And  ,M2               
V768 Peg  ,                 
GR Peg    ,M8               
V770 Peg  ,                 
V769 Peg  ,                 
Z Peg     ,M6e-M8.5e(Tc)    
AH Peg    ,                 
GQ Peg    ,M6.5             
GV Peg    ,F1-F3            
V480 And  ,                 
V719 And  ,                 
NP And    ,                 
VW And    ,                 
V341 And  ,                 
V715 And  ,                 
V709 And  ,                 
V706 And  ,                 
V398 And  ,M2               
NO And    ,                 
V343 And  ,M2               
V484 And  ,                 
V401 And  ,M0               
TW And    ,F0V+K0           
V708 And  ,                 
V713 And  ,                 
V710 And  ,                 
V477 And  ,                 
V344 And  ,K0V              
V475 And  ,                 
NQ And    ,                 
PW And    ,K2V              
V621 Peg  ,                 
V717 And  ,                 
NN And    ,                 
V617 Peg  ,                 
YY And    ,                 
V615 Peg  ,sdB+wd           
V1251 Cas ,                 
V1029 Cas ,                 
MT Cas    ,                 
TT Cas    ,M6e              
SX Cas    ,B7IIIe+K3III     
MX Cas    ,                 
FH Cas    ,M6               
MW Cas    ,                 
V959 Cas  ,                 
V744 Cas  ,B9               
V1006 Cas ,F2V              
V1253 Cas ,                 
V1250 Cas ,                 
V535 Cas  ,Ma               
V565 Cas  ,                 
RT Cas    ,M7               
EV Cas    ,                 
LP Cas    ,                 
EQ Cas    ,Fp(R)            
LO Cas    ,                 
V855 Cas  ,                 
V1025 Cas ,                 
IV Cas    ,A2               
V821 Cas  ,A0               
RR Cas    ,M5e              
QY Cas    ,                 
SS Cas    ,M3e-M7e          
V1034 Cas ,                 
V746 Cas  ,B5IV             
V858 Cas  ,                 
ST Cas    ,"C4,4(N3)         "
V1007 Cas ,                 
TU Cas    ,F3II-F5II        
AO Cas    ,O9IIInn+O9III    
V872 Cas  ,                 
R Cas     ,M6e-M10e         
CS Cas    ,F8               
V443 Cas  ,                 
IT Cas    ,F6               
IX Cas    ,F7               
V1247 Cas ,                 
V1036 Cas ,G0               
V642 Cas  ,G8               
V591 Cas  ,M2               
MY Cas    ,                 
V641 Cas  ,M3Iabe+B2.5      
B Cas     ,                 
AS Cas    ,                 
V1004 Cas ,                 
V741 Cas  ,K0               
V706 Cas  ,                 
V1026 Cas ,A5               
ZZ Cas    ,B3               
KN Cas    ,M1Ibep+B3V       
V446 Cas  ,M0-M4III         
MV Cas    ,                 
V593 Cas  ,M                
kap Cas   ,B1Iaea           
NP Cas    ,                 
V824 Cas  ,                 
CT Cas    ,                 
V827 Cas  ,                 
V1005 Cas ,                 
UX Cas    ,"C6,2(R2)         "
V739 Cas  ,K5               
V441 Cas  ,S                
V823 Cas  ,                 
V362 Cas  ,B                
V639 Cas  ,B3Iae            
V1246 Cas ,                 
V816 Cas  ,M2III:           
V522 Cas  ,K3e              
V650 Cas  ,A0VpSr(SiCr)     
V485 Cas  ,K7e              
V658 Cas  ,M7e              
FP Cas    ,M6               
V743 Cas  ,M2II:            
VX Cas    ,A0ea             
CU Cas    ,M6               
V745 Cas  ,B0IV             
BG Cas    ,                 
QT Cas    ,                 
DD Cas    ,F7-G1            
CD Cas    ,F6-G5            
V375 Cas  ,B3               
V1248 Cas ,                 
MS Cas    ,A                
V363 Cas  ,F3-F7            
V1249 Cas ,                 
MU Cas    ,B8               
V1298 Cas ,                 
V1300 Cas ,                 
V825 Cas  ,                 
V379 Cas  ,F6-G0            
FO Cas    ,                 
BF Cas    ,                 
V1255 Cas ,                 
V1299 Cas ,                 
V546 Cas  ,                 
NO Cas    ,                 
V1027 Cas ,A9V              
BD Cas    ,                 
UU Cas    ,B0.5III          
V632 Cas  ,M1-M2            
CG Cas    ,F5-F8            
V654 Cas  ,                 
TZ Cas    ,M2Iab            
EM Cas    ,M6               
PY Cas    ,M5III            
QX Cas    ,B1V+B1V          
CE Cas B  ,F8Ib-G0Ib        
CE Cas A  ,F9Ib             
CF Cas    ,F8Ib-G0Ib        
V997 Cas  ,                 
V567 Cas  ,B9p(HgMn)        
ER Cas    ,M6               
LQ Cas    ,                 
PZ Cas    ,M3Ia             
V631 Cas  ,M1               
EX Cas    ,                 
V729 Cas  ,                 
BB Cas    ,M8               
V407 Cas  ,                 
QV Cas    ,                 
V818 Cas  ,B2Vn(e)          
V566 Cas  ,A3Ia comp        
EH Cas    ,M3               
V878 Cas  ,                 
V1294 Cas ,                 
EL Cas    ,                 
WZ Cas    ,"C9,2JLi(N1p)     "
V336 Cas  ,                 
V822 Cas  ,M0               
V819 Cas  ,A0Ia comp        
AF Cep    ,                 
V794 Cep  ,                 
V792 Cep  ,F                
V789 Cep  ,                 
V761 Cep  ,                 
EU Cep    ,                 
V762 Cep  ,                 
V404 Cep  ,M2               
V758 Cep  ,                 
EN Cep    ,                 
AR Cep    ,M4III            
V902 Cep  ,                 
AN Cep    ,M8e              
V Cep     ,A3V              
V875 Cep  ,                 
DX Cep    ,A7-F6            
V796 Cep  ,                 
GW Cep    ,G3               
V797 Cep  ,                 
V756 Cep  ,                 
V403 Cep  ,K0               
V799 Cep  ,                 
U Cep     ,B7Ve+G8III-IV    
RX Cep    ,G8III            
OT Cep    ,                 
AD Cep    ,M6.5-M8          
AE Cep    ,                 
Y Cep     ,M5e-M6e          
V926 Cep  ,                 
V918 Cep  ,                 
V462 Cep  ,A2               
V958 Cep  ,F5               
V965 Cep  ,                 
V512 Cam  ,                 
TX UMi    ,                 
EZ Cap    ,                 
FI Cap    ,pec(UG)          
FU Cap    ,                 
DH Cap    ,                 
CI Cap    ,                 
X Cap     ,                 
V1251 Cyg ,                 
V622 Cyg  ,M5               
V522 Cyg  ,                 
V2433 Cyg ,                 
V2575 Cyg ,                 
V588 Cyg  ,                 
V2585 Cyg ,                 
V2572 Cyg ,                 
V1543 Cyg ,                 
V1064 Cyg ,                 
V1959 Cyg ,                 
V409 Cyg  ,                 
BK Cyg    ,M9               
V589 Cyg  ,                 
V2446 Cyg ,                 
V2451 Cyg ,                 
V2441 Cyg ,                 
V619 Cyg  ,M6.5             
V1244 Cyg ,                 
V2807 Cyg ,                 
V592 Cyg  ,M7               
V3101 Cyg ,pec(UG)          
UU Cet    ,A7-F6:           
Z Aqr     ,M1e-M7III        
AE Cet    ,M1III-M3III      
AC Cet    ,M5III            
CF Cet    ,                 
AU Cet    ,M6III            
ET Aqr    ,B9pSiCrSr        
BZ Psc    ,                 
BV Psc    ,                 
XZ Psc    ,M5IIb            
BQ Psc    ,                 
EV Psc    ,A0               
V422 Peg  ,                 
LN Peg    ,                 
BY Psc    ,                 
V363 Peg  ,                 
HU Peg    ,                 
TU Psc    ,M                
V409 Peg  ,dA               
V619 Peg  ,                 
V618 Peg  ,                 
HT Peg    ,A4Vn             
V720 And  ,                 
V468 And  ,                 
V782 And  ,                 
V413 And  ,G0III            
SV And    ,M5e-M7e          
V470 And  ,B2V              
V397 And  ,M5               
V783 And  ,                 
V471 And  ,                 
V485 And  ,                 
V346 And  ,K5               
GM And    ,                 
V467 And  ,                 
V707 And  ,F5V              
V819 And  ,                 
OU And    ,G1IIIe           
V712 And  ,G0V              
V711 And  ,                 
V1030 Cas ,                 
V544 Cas  ,A-F              
V338 Cas  ,M2               
V1035 Cas ,                 
V860 Cas  ,                 
V960 Cas  ,                 
V349 And  ,M0               
V1008 Cas ,                 
V747 Cas  ,M0               
AM And    ,                 
RS And    ,M7-M10           
IW Cas    ,"S4.5,9e          "
V1032 Cas ,                 
V703 And  ,                 
V456 And  ,                 
V342 And  ,A3               
BB And    ,S3e              
V465 And  ,Mb               
V396 And  ,F0               
TZ And    ,M5-6III          
CG And    ,B9pSiEu          
AW And    ,                 
GL And    ,K4               
GK And    ,                 
V412 And  ,                 
V701 And  ,                 
V818 And  ,                 
PV And    ,B9pSi            
LQ And    ,B4Ven            
V1019 Cep ,                 
V402 Cep  ,F2               
V967 Cep  ,                 
CO Cep    ,                 
V757 Cep  ,                 
EO Cep    ,                 
V530 Cep  ,                 
RY Cep    ,M0e              
V368 Cep  ,G9V              
V956 Cep  ,                 
V1045 Cas ,                 
V949 Cep  ,                 
V924 Cep  ,                 
V753 Cep  ,                 
AT Cep    ,                 
V951 Cep  ,                 
V937 Cep  ,                 
V1059 Cas ,                 
YZ Cas    ,A3IV+F2V         
V754 Cep  ,                 
V763 Cas  ,M1               
V751 Cep  ,                 
CZ Cep    ,                 
V1063 Cas ,                 
AP Cep    ,Me               
AU Cep    ,                 
V1303 Cas ,                 
V932 Cep  ,                 
V943 Cep  ,                 
V459 Cep  ,F2               
V396 Cep  ,                 
AL Cam    ,A5V              
BT Cam    ,DA               
V572 Cam  ,                 
FR Cam    ,M2III            
MW Cam    ,F0               
V511 Cam  ,                 
BU Cam    ,                 
NU Cam    ,                 
V513 Cam  ,                 
V518 Cam  ,                 
NS Peg    ,                 
AS Peg    ,M2e-M6:          
NU Del    ,                 
V696 Peg  ,                 
FH Peg    ,                 
V397 Peg  ,                 
V430 Del  ,                 
V447 Del  ,                 
V444 Del  ,                 
V441 Del  ,                 
V437 Del  ,                 
V438 Del  ,                 
V468 Del  ,                 
V442 Del  ,                 
V425 Peg  ,                 
V402 Peg  ,K0V              
UU Psc    ,F1IV-V+F1IV-V    
IT Psc    ,M4               
BX Psc    ,                 
DP Psc    ,                 
EK Psc    ,                 
EW Psc    ,                 
DV Psc    ,                 
EX Psc    ,                 
IR Psc    ,                 
RR Psc    ,                 
DR Psc    ,                 
EY Psc    ,G0               
DM Peg    ,A6               
phi Peg   ,                 
GS Peg    ,M7               
V420 Peg  ,                 
V623 Peg  ,                 
NP Peg    ,                 
IS Psc    ,                 
V419 Peg  ,                 
U Peg     ,F3+F3            
V361 Peg  ,                 
YY Scl    ,M6III            
SY Scl    ,M6e-M8:          
UU Scl    ,                 
TX Scl    ,F0hb             
RU Scl    ,A5:-F8           
AU Scl    ,                 
DE Scl    ,                 
CZ Scl    ,                 
SX Scl    ,                 
BU Scl    ,                 
TU Scl    ,                 
GT Cas    ,A0               
SY Cas    ,F5-G0            
V633 Cas  ,B3e              
TV Cas    ,B9V+F7IV         
BH Cas    ,                 
FR Cas    ,"C4,3-C7,4(N)     "
BE Cas    ,F2               
V1254 Cas ,                 
V545 Cas  ,                 
FT Cas    ,M10              
FL Cas    ,                 
V958 Cas  ,                 
NN Cas    ,                 
MR Cas    ,                 
V337 Cas  ,A2               
V742 Cas  ,B5IIe:           
MQ Cas    ,A0Vea            
V820 Cas  ,B1Iabe           
V335 Cas  ,M5e              
EP Cas    ,                 
V1295 Cas ,                 
rho Cas   ,F8pIa-0-M3       
V1400 Cas ,                 
EY Cas    ,                 
V651 Cas  ,                 
V1206 Cas ,                 
V652 Cas  ,"C5,3             "
EI Cas    ,                 
EF Cas    ,"C9,1(N)          "
V543 Cas  ,C                
V1399 Cas ,                 
V640 Cas  ,G3V+G9V          
EW Cas    ,                 
RY Cas    ,F5-G3Ib          
V1195 Cas ,                 
FM Cas    ,F7-G0I           
GU Cas    ,OB               
V1252 Cas ,                 
V534 Cas  ,                 
EN Cas    ,                 
V1401 Cas ,                 
QZ Cas    ,                 
V1217 Cas ,                 
V1218 Cas ,                 
V1233 Cas ,                 
V1223 Cas ,                 
V1216 Cas ,                 
V1215 Cas ,                 
Z Cas     ,M7e              
V1224 Cas ,                 
V1210 Cas ,                 
V1212 Cas ,                 
V1237 Cas ,                 
V1213 Cas ,                 
V1023 Cas ,                 
V1239 Cas ,                 
V1200 Cas ,                 
V1242 Cas ,                 
V730 Cas  ,                 
V874 Cas  ,                 
V1207 Cas ,                 
V1244 Cas ,                 
V1199 Cas ,                 
V521 Cas  ,                 
V876 Cas  ,                 
V1209 Cas ,                 
V1211 Cas ,                 
V1219 Cas ,                 
V1220 Cas ,                 
QW Cas    ,M                
EG Cas    ,                 
V1398 Cas ,                 
EE Cas    ,                 
V1297 Cas ,K0               
V1296 Cas ,                 
DI Cas    ,M5               
EK Cas    ,                 
QR Cas    ,                 
V1022 Cas ,F1/6V+F3V        
V520 Cas  ,                 
FI Cas    ,pec(UG)          
QS Cas    ,                 
QU Cas    ,                 
V374 Cas  ,A                
V361 Cas  ,A                
V1194 Cas ,                 
V817 Cas  ,Be               
V1397 Cas ,                 
CH Cet    ,                 
CG Cet    ,                 
AF Cet    ,M6III            
KT Cet    ,M1III            
GL Cet    ,M6               
HW Aqr    ,                 
V400 Cep  ,WC8              
V755 Cep  ,                 
V401 Cep  ,M2               
V380 Cas  ,A0               
RV Cep    ,M2e-M7           
TZ Cep    ,G6-K2e(M2)       
V752 Cep  ,                 
V397 Cep  ,A2               
CP Cas    ,C(R)             
V525 Cas  ,M2               
V749 Cep  ,                 
V1055 Cas ,G                
V1262 Cas ,                 
V1263 Cas ,C(N)             
CV Cas    ,                 
V750 Cep  ,                 
NP Cep    ,                 
NR Cep    ,                 
V964 Cep  ,                 
V1114 Cep ,                 
V957 Cep  ,                 
PU Cep    ,C                
V1017 Cep ,                 
AD Cet    ,M3III            
V478 And  ,                 
V421 Peg  ,F2III/IV         
V622 Peg  ,                 
V476 And  ,G0               
V718 And  ,M2               
QR And    ,pec(e)           
NQ Peg    ,                 
BH And    ,M5e              
V686 Peg  ,                 
V362 Peg  ,                 
V772 Peg  ,                 
BW Psc    ,                 
EP Peg    ,M7               
V1256 Cas ,                 
V1259 Cas ,                 
V757 Cas  ,B8               
V1039 Cas ,                 
V1260 Cas ,                 
V1044 Cas ,B5               
V959 Cep  ,                 
V461 Cep  ,M                
V712 Cep  ,                 
V960 Cep  ,                 
XY Cep    ,B8-A0            
V1115 Cep ,                 
V747 Cep  ,O5V(f)n          
V961 Cep  ,A5               
V946 Cep  ,                 
V954 Cep  ,                 
V702 Cep  ,                 
V399 Cep  ,B2               
V510 Cas  ,K1e              
V511 Cas  ,K4e              
V1031 Cas ,                 
V1293 Cas ,A7+K3            
V740 Cas  ,G5               
V854 Cas  ,                 
V398 Cep  ,M4III            
V1113 Cep ,                 
NO Cep    ,K2e              
QZ Cep    ,A4               
V463 Cep  ,B1               
V406 Cas  ,                 
EV Cep    ,                 
V804 Cep  ,                 
V795 Cep  ,F0:              
EW Cep    ,                 
V779 Cep  ,                 
RU Cep    ,M0III            
V785 Cep  ,                 
V773 Cep  ,                 
V767 Cep  ,                 
V771 Cep  ,                 
V772 Cep  ,                 
V768 Cep  ,                 
V370 Cep  ,                 
V769 Cep  ,                 
EQ Cep    ,K0(V)            
V765 Cep  ,                 
V775 Cep  ,                 
V372 Cep  ,                 
ET Cep    ,                 
V791 Cep  ,                 
V790 Cep  ,                 
V787 Cep  ,                 
V782 Cep  ,                 
V745 Cep  ,                 
V763 Cep  ,                 
V760 Cep  ,                 
OS Cep    ,                 
V759 Cep  ,                 
RY Psc    ,F0-F6            
BS Psc    ,                 
DQ Psc    ,                 
AP Psc    ,                 
BT Psc    ,                 
IP Psc    ,K0               
IO Psc    ,                 
IQ Psc    ,                 
BH Psc    ,                 
BU Psc    ,                 
V510 Pup  ,                 
FG Pup    ,                 
IK Pup    ,C(N)             
HQ Pup    ,                 
AI Pup    ,                 
V585 Pup  ,M9e              
LO Pup    ,                 
CC Pup    ,                 
V403 Pup  ,                 
LT Pup    ,                 
WZ Pup    ,F5-G2            
V499 Pup  ,                 
HY Pup    ,                 
BV Pup    ,                 
V614 Pup  ,M6               
LN Pup    ,                 
V482 Pup  ,                 
V335 Pup  ,                 
FH Pup    ,                 
rho Pup   ,F6IIp            
WY Pup    ,F5-F9            
EW Pup    ,Se               
LW Pup    ,                 
V684 Pup  ,C                
V523 Pup  ,                 
IW Pup    ,                 
EY Pup    ,                 
V430 Pup  ,                 
V587 Pup  ,A3V              
IO Pup    ,                 
V527 Pup  ,                 
DM Pup    ,                 
V728 Pup  ,                 
IM Pup    ,                 
V631 Pup  ,                 
V424 Pup  ,                 
V408 Pup  ,                 
AA Pup    ,F8               
V487 Pup  ,                 
BU Pup    ,                 
KY Pup    ,O9.5III          
V622 Pup  ,                 
KX Pup    ,                 
OR Pup    ,M7               
V743 Pup  ,                 
DK Pup    ,                 
V696 Pup  ,                 
V694 Pup  ,                 
V691 Pup  ,                 
V693 Pup  ,                 
V588 Pup  ,                 
DX Pup    ,M6-M7            
NQ Pup    ,"S6,3             "
U Pup     ,M5e-M8e          
V414 Pup  ,                 
V498 Pup  ,                 
V721 Pup  ,                 
V505 Pup  ,                 
V619 Pup  ,                 
GR Pup    ,"C4,5(N)          "
V742 Pup  ,                 
V518 Pup  ,                 
V591 Pup  ,                 
IV Pup    ,"C3,5             "
GN Pup    ,C(N)             
GP Pup    ,                 
KW Pup    ,                 
V740 Pup  ,A2               
MT Pup    ,                 
V405 Pup  ,                 
GQ Pup    ,M6               
V996 Mon  ,                 
V952 Mon  ,                 
V833 Mon  ,                 
V695 Mon  ,                 
V1025 Mon ,                 
V870 Mon  ,                 
V944 Mon  ,                 
V1027 Mon ,                 
IL Mon    ,A0               
BO Mon    ,A2               
V768 Mon  ,                 
TU Mon    ,B5V+A5III:       
V770 Mon  ,                 
V898 Mon  ,                 
V712 Mon  ,                 
BC Mon    ,M3e              
V1028 Mon ,                 
V769 Mon  ,                 
BD Mon    ,"S5,2e            "
V830 Mon  ,                 
V703 Mon  ,                 
V1029 Mon ,                 
NR Cnc    ,                 
BW CMi    ,M0               
FX CMi    ,B8V+A1V          
DZ CMi    ,                 
BU CMi    ,A0V              
DN CMi    ,C(Np)            
CU CMi    ,                 
V608 Hya  ,                 
BS CMi    ,K5               
CS CMi    ,                 
BB CMi    ,A5               
FW CMi    ,                 
W CMi     ,"C7,2(N)          "
BV CMi    ,B9               
AL CMi    ,                 
BM CMi    ,                 
VV CMi    ,                 
UZ CMi    ,F8               
XZ CMi    ,F0               
DM CMi    ,A0V              
VY CMi    ,                 
FV CMi    ,                 
HN Cnc    ,                 
WZ Cnc    ,M2               
LW Cnc    ,                 
LZ Cnc    ,                 
DW Cnc    ,pec(UG)          
ST Cnc    ,M8               
SU Cnc    ,M6               
IV Cnc    ,                 
V362 Gem  ,                 
PQ Gem    ,                 
UU Cnc    ,K4III            
KN Cnc    ,                 
NQ Cnc    ,                 
V365 Gem  ,                 
YZ Cnc    ,pec(UG)          
GS Cnc    ,                 
KL Cnc    ,                 
NV Cnc    ,G0               
V519 Gem  ,                 
V518 Gem  ,                 
GW Gem    ,A5               
OS Gem    ,A7               
PT Gem    ,                 
SS Cnc    ,A4-F5            
RX Cnc    ,M8               
LY Cnc    ,                 
RR Cnc    ,M3e              
FO Cnc    ,K7               
FK Lyn    ,                 
RT Lyn    ,M6e              
SV Lyn    ,M5III            
LW Lyn    ,                 
CM Lyn    ,                 
CT Lyn    ,                 
EU Lyn    ,                 
KO Lyn    ,                 
EF Lyn    ,A5               
DD Lyn    ,                 
V515 Gem  ,                 
V429 Pup  ,                 
V590 Pup  ,                 
V423 Pup  ,                 
KZ Pup    ,                 
MV Pup    ,                 
MU Pup    ,                 
GS Pup    ,                 
DL Pup    ,                 
V483 Pup  ,                 
V484 Pup  ,                 
V627 Pup  ,B5III            
EV Pup    ,                 
DN Pup    ,                 
