     M4-M7            : 6
     C3,5             : 6
     B3V+B3V          : 6
     K6V-M0V+pec(e)   : 6
     M1e              : 6
     K2-K3eII-III(T)  : 6
     K0:ea-K5e        : 6
     M6e-M10e         : 6
     M2IIIe           : 6
     B9Ib/II          : 6
     F5V-IV+K0IV-III  : 6
     B2Vp(He+)        : 6
     M9e              : 6
     G8/K3            : 6
     B1Iab            : 6
     F6e              : 6
     F8-G5III-IV/Vea  : 6
     B0IVpe           : 6
     B2.5IV-Vn        : 6
     A9IV             : 6
     B1III-IV         : 6
     K1III-IVp        : 6
     M3-M5Ib          : 6
     A3-F1            : 6
     Bep              : 6
     B9p              : 6
     A5ea             : 6
     K1IV-V+F8V       : 6
     C7,4e(N)         : 6
     B2Vnpea          : 6
     F7-G0            : 6
     M3-M8            : 6
     B1.5IV-Vpe       : 6
     A6/9(e)          : 6
     M6-M8e           : 6
     M0I-M4Ia         : 6
     K0e              : 6
     F2III            : 6
     B2:III:npe       : 6
     C3,2-C5,4(Nea:)  : 6
     B9IVp(Si-Mn)     : 6
     A5Ve+F2:pe       : 6
     M6ea             : 6
     A4-F5            : 6
     M6.5e-M8IIIe     : 6
     Mea              : 5
     K-M              : 5
     K:               : 5
     B0.5Vne+B0.5V    : 5
     M3/M4            : 5
     M5-M6.5          : 5
     F4.6-F5.4        : 5
     B2e              : 5
     G4III+A7V        : 5
     K1,2IV-V         : 5
     O9.5+O9.5III     : 5
     M2S              : 5
     S5,1(M4)         : 5
     A6-F7            : 5
     F7Ib-F8Ib        : 5
     O(subdwarf)+KV   : 5
     K/Me             : 5
     B6Ve             : 5
     B9pHgMn          : 5
     O6+WN5.5         : 5
     C(N0)            : 5
     A0p(Cr-Sr-Eu)    : 5
     B0IV+B0IV        : 5
     F8:              : 5
     B1I-IIea         : 5
     G8III            : 5
     B7III            : 5
     B2III            : 5
     M2-M3Ve          : 5
     B9IIIp(Si)       : 5
     B2+B2            : 5
     M4.5V+pec(e)     : 5
     A3p(Sr-Cr-Eu)    : 5
     F2:              : 5
     M1eIII-M6ep      : 5
     M3II             : 5
     B0               : 5
     C4,8-C7,4(N)     : 5
     O9.5Vp+B0V       : 5
     M1/M2III         : 5
     C6,4             : 5
     O8V(n)           : 5
     B2IV/V           : 5
     Ap(Si)           : 5
     F4V              : 5
     F6-G4:           : 5
     M(3)e            : 5
     M2-M6            : 5
     B6III            : 5
     A3:              : 5
     F7V+G5V          : 5
     M4V              : 5
     F5III-IV         : 5
     K1IV             : 5
     A0pEuSrCr        : 5
     M5.5Vea          : 5
     O9.5I-II         : 5
     B0.5+B0.5IV-Vea  : 5
     WN7-8            : 5
     Fp(R)            : 5
     G2+G2            : 5
     M2Iab-Ib         : 5
     B1.5III          : 5
     F0:              : 5
     M3IIIab          : 5
     O8Vn             : 5
     A7V:             : 5
     C8,2e(N0pe)      : 5
     F4-F6            : 5
     G0-G5eaqIb       : 5
     S6,8e(M4e)       : 5
     B0ne             : 5
     G0:              : 5
     C4,4J(N3)        : 5
     M1Iab-M3Iab      : 5
     F8/G0V           : 5
     B0-1V-IVeq+K     : 5
     M3e-M9e          : 5
     C4,4(N3)         : 5
     gF1              : 5
     M2-M5(S)         : 5
     B7IIIe+K3III     : 5
     A8+A8            : 5
     C5,5             : 5
     M4SIII           : 5
     A8-F4            : 5
     F2-F7            : 5
     G5III:           : 5
     C6.5,4e(N3)      : 5
     F0Vn             : 5
     C5,4(N3)+A2III-V : 5
     e(T)             : 5
     A0Vb             : 5
     G2e-G6(M2)       : 5
     G6IV+G0V         : 5
     M4-M8e           : 5
     M3e-M5e          : 5
     A0V+K0III        : 5
     B6.5:            : 5
     B1-2III          : 5
     G5+G5V           : 5
     O7fIa+O8         : 5
     M0.0-M1.5(Iab-Ib : 5
     B3e              : 5
     B0ea             : 5
     M4-M6            : 5
     G0-1Iep(C1,0 HD) : 5
     K7ea             : 5
     B0Ib(n)          : 5
     F6V              : 5
     F5-G1            : 5
     M2Ia             : 5
     MS               : 5
     G8III/Ve-K4Ve    : 5
     K2IV             : 5
     O8V+O8V          : 5
     G5-G7IVea        : 5
     ApEuSrCr         : 5
     M5e-M8           : 5
     B5Vea            : 4
     M3Ve-M5Vea       : 4
     K7-M0V           : 4
     M3Iae-M7         : 4
     M5II-III         : 4
     AO               : 4
     M3Ve-M4Ve        : 4
     K5Ve(Li)+K7Ve(Li : 4
     B2-5e            : 4
     O7.5If+O9I       : 4
     M2.5II-IIIe      : 4
     A1V              : 4
     M3Ia-Iab-M7      : 4
     F1/6V+F3V        : 4
     C7,1e(SC5/9e)    : 4
     M1Iab-Ib         : 4
     K5-K7e(T)        : 4
     K2IV(e)          : 4
     B9III            : 4
     sd:Bp            : 4
     M6e-M9           : 4
     A6Vn             : 4
     pec(e)+M         : 4
     A2IVe            : 4
     A5m              : 4
     F0/5e:           : 4
     B7Ve             : 4
     B9II             : 4
     B1V:pe           : 4
     M5.5e            : 4
     M3-M5            : 4
     F0V+G5:V         : 4
     B1/B2Ib:         : 4
     Unknown               : 4
     B3IVe            : 4
     C1,2CH(R6p)      : 4
     B1V:             : 4
     A2V(Am)          : 4
     G8III+B9V        : 4
     FO               : 4
     K7-M1            : 4
     B9Ia             : 4
     F8III-IV         : 4
     B1Iapeq          : 4
     F0-F7            : 4
     M1Ib+A0          : 4
     A6-F6            : 4
     M2-M3Vea:        : 4
     M8.5e            : 4
     A0-F2            : 4
     C7,3(R8)         : 4
     K6e              : 4
     K2V:             : 4
     K7Ve             : 4
     G4III            : 4
     C6,4(R8)         : 4
     A5-F5:           : 4
     B3Vpe            : 4
     F6-F8:           : 4
     M2.2Iab          : 4
     M5.5Ve           : 4
     M2-M6.5          : 4
     A0p              : 4
     B3eaIa           : 4
     F1-F5            : 4
     G3+G8            : 4
     M4I              : 4
     S5,8             : 4
     A5+F3p           : 4
     B8IV             : 4
     C6-,4(N)         : 4
     B9p(Eu-Cr)       : 4
     M1/2III          : 4
     M4e-M6e(Tc:)III  : 4
     M2V              : 4
     K3e-M6.5e        : 4
     F5-G2II          : 4
     K2.5Ve           : 4
     B6Iaea           : 4
     S7/1.5           : 4
     B8ea             : 4
     B8p(Si)          : 4
     M4epIab+B        : 4
     K6e(T)           : 4
     DA4              : 4
     A3IV             : 4
     G0IV             : 4
     Kea              : 4
     G2-3V+K4V        : 4
     M3-M7e           : 4
     M5(S)            : 4
     K0:ea            : 4
     M3.5Ib           : 4
     K:e(T)           : 4
     A2-A8            : 4
     G0-K0            : 4
     G8/K0V           : 4
     B2Vn(e)          : 4
     K2.5Vea          : 4
     Ae               : 4
     K7-M0Ve          : 4
     M5-M9            : 4
     A7:-F8           : 4
     B1III-V+B1.5     : 4
     F0III-IV         : 4
     S6/3             : 4
     M0Iab-M2Ia-Iab   : 4
     Ge               : 4
     F9Ib             : 4
     B8V+F0V          : 4
     K0V+K1V          : 4
     B8hb             : 4
     M4e-M8.2e        : 4
     M2e-M5e          : 4
     M3-5             : 4
     KVe(T)-M2e       : 4
     A6+A6            : 4
     M5e-M8ep         : 4
     A3V-A3.5V        : 4
     K-Me             : 4
     B1Ib/II          : 4
     M2:ea            : 4
     B3+B5            : 4
     K2e-K3e(T)       : 4
     SC3e-S5,5e:      : 4
     K1III            : 4
     B2Ib             : 4
     B7Ve+G8III-IV    : 4
     K2.5V            : 4
     C(R8)            : 4
     A7-F4            : 4
     B1Vne            : 4
     M5Vea            : 4
     A7m              : 4
     B2(p:e:)         : 4
     M5III:           : 4
     F0-F2            : 4
     M0e+F            : 4
     G5Ve             : 4
     G5p              : 4
     B8e              : 4
     K1-3Ve           : 4
     A7p(Sr-Cr)       : 4
     C7,6e(N6e)       : 4
     K7e(T)           : 4
     M5II             : 4
     B3III-IVpeV      : 4
     C7,3e(N)         : 4
     F2pea            : 4
     A9-F7            : 4
     K5Ve-M1V         : 4
     M6e-M9p(S)       : 4
     B1Ve             : 4
     M2/4 I           : 4
     A7III            : 4
     A9/F0V           : 4
     M0V:             : 4
     A6-F5            : 4
     M5e-M7e          : 4
     C:(R:)           : 4
     A7-A9V           : 4
     F3III/IV         : 4
     K7Ve-M0e         : 4
     G5-8Ve(T)        : 4
     C6,4(Nb)         : 4
     M2-M4III         : 4
     M3.5Iab          : 4
     M4-6             : 4
     K6-M0:           : 4
     M2-M7            : 4
     K4/5e            : 4
     K2IVe-K5e(T)     : 4
     G0V+M            : 4
     A8-F1            : 4
     F5II             : 4
     G1p              : 4
     G6               : 4
